pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,21,35.072936,1.1313850322580645,0.873818,21.510468,2.5161290322580645,0,2,0,0.6774193548387096
GBPJPY,31,19,22.14677,0.7144119354838709,0.781785,3.473458,2.129032258064516,0,4,0,0.6129032258064516
GBPUSD,31,17,11.558725,0.3728620967741936,1.145268,25.939195,2.870967741935484,0,2,0,0.5483870967741935
NZDUSD,31,22,13.974824,0.45080077419354836,0.52,7.593113,1.1290322580645162,0,0,0,0.7096774193548387
