policy_id,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
both_sides_normal,31,20,49.51808199999999,1.5973574838709674,4.948364,65.87568,2.3870967741935485,0,0,0,0.6451612903225806
session_optimizer_new_york_gbpjpy_medium,31,21,147.078126,4.744455677419355,4.416721,73.860269,2.4193548387096775,0,1,0,0.6774193548387096
session_optimizer_new_york_gbpusd_medium,31,20,111.49923899999999,3.59674964516129,6.472098,112.80724,2.5806451612903225,0,1,0,0.6451612903225806
session_optimizer_new_york_nzdusd_medium,31,21,-72.109482,-2.326112322580645,3.12,141.577862,0.8387096774193549,0,0,0,0.6774193548387096
