feature,importance
pair_nzdusd,0.05800434574484825
event_hour,0.04605184867978096
abs_mom_30m,0.040810804814100266
is_usd_event,0.04018222540616989
event_year,0.037354324012994766
event_weekday,0.033913031220436096
rolling_std_5m_30,0.0334610641002655
atr_frac_60,0.03234187886118889
pair_gbpjpy,0.03204134851694107
abs_mom_2h,0.02953888103365898
range_width_60,0.027367115020751953
pair,0.02652244083583355
atr_ratio_14_60,0.025248786434531212
atr_frac_14,0.02398613654077053
rolling_std_15m_30,0.023852698504924774
mom_2h,0.023771513253450394
is_jpy_event,0.023424390703439713
avg_range_frac_60,0.02317865937948227
ret_prev_15m,0.02294069714844227
ret_prev_60m,0.02235144004225731
pair_is_jpy_cross,0.022260455414652824
event_month,0.021545087918639183
pair_eurjpy,0.020946431905031204
ret_prev_5m,0.020830415189266205
dist_from_mean_60,0.02069264091551304
ret_prev_240m,0.02035387232899666
cat_agriculture,0.019639084115624428
mom_30m,0.01963062956929207
is_gbp_event,0.01940227299928665
dir_consistency_60,0.01898884028196335
momentum_aligned,0.01851983554661274
is_nzd_event,0.018278764560818672
pair_gbpusd,0.014952384866774082
is_eur_event,0.011722173541784286
cat_pmi,0.011017539538443089
hist_surprise_count,0.009797681123018265
cat_other,0.00937292817980051
cat_sentiment,0.009072830900549889
avoid_asia,0.008792604319751263
hist_surprise_hit_rate,0.007434853818267584
importance_score_filled,0.007380281575024128
risk_prior_reduce,0.00724165141582489
cat_inflation,0.006920963525772095
risk_prior_halt,0.006792779080569744
hist_mean_abs_surprise,0.006646681111305952
hist_surprise_std,0.006071674637496471
cat_auction,0.005346460733562708
pair_has_gbp_base,0.00400454830378294
avoid_london,0.0
avoid_both,0.0
pair_has_usd_quote,0.0
cat_central_bank,0.0
cat_employment,0.0
cat_gdp,0.0
cat_retail_sales,0.0
cat_trade,0.0
cat_housing,0.0
cat_speech,0.0
