pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,1095,715,402.640008,0.36770776986301373,0.814909,41.707394,2.558904109589041,22,0,0.6529680365296804
GBPJPY,1095,694,541.732829,0.4947331771689498,0.814909,40.188658,2.361643835616438,59,0,0.6337899543378995
GBPUSD,1095,637,390.54632900000007,0.3566633141552512,1.177091,59.095082,2.4785388127853882,44,0,0.5817351598173516
NZDUSD,1095,622,452.91381200000006,0.41361991963470324,1.177091,58.862904,2.410958904109589,1,0,0.5680365296803653
