pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,19,-32.975927999999996,-1.0637396129032257,4.822227,50.369235,2.4838709677419355,1,0,0,0.6129032258064516
GBPJPY,31,22,125.801676,4.058118580645162,4.822227,41.225679,2.2580645161290325,0,0,0,0.7096774193548387
GBPUSD,31,19,49.18035399999999,1.5864630322580642,7.058049,70.379165,2.774193548387097,2,0,0,0.6129032258064516
NZDUSD,31,22,65.39,2.1093548387096774,2.6,14.846,0.8064516129032258,0,0,0,0.7096774193548387
