pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,19,103.177995,3.3283224193548384,3.269455,56.469312,2.6129032258064515,0,2,0,0.6129032258064516
GBPJPY,31,18,19.843452,0.6401113548387096,2.901556,71.104332,2.3548387096774195,0,4,0,0.5806451612903226
GBPUSD,31,16,38.051961,1.2274826129032257,4.254805,77.817819,2.935483870967742,0,2,0,0.5161290322580645
NZDUSD,31,21,62.114929,2.003707387096774,2.34,22.779346,1.2258064516129032,0,0,0,0.6774193548387096
