pair,ret60_q85,ret180_q85,ret180_q92,maxabs60_q85,trend_ratio_q80,trend_ratio_q90
EURJPY,0.0016000300005625117,0.0028473768773146766,0.00368372988449013,0.0017459731956227212,20.055373065031176,42.427519571536536
GBPJPY,0.0018317548211186725,0.002981190499720034,0.004015628951755633,0.001977047470005168,19.261816895915903,44.49785678276383
GBPUSD,0.0018143652162592788,0.003091906933601301,0.003981988016821082,0.002013900827664044,12.69991776231886,26.42833157824298
NZDUSD,0.0023139022676241577,0.003625316795622851,0.0049522054589426915,0.0026059067219028047,12.624909212687944,25.799690135402482
