pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
GBPUSD,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.325,0.065,3,basket_tp_pips,214
NZDUSD,london,2025-01-02T03:00:00.000000+0000,2025-01-02T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,1.02375,0.50375,3,basket_tp_pips,74
EURJPY,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.1575,0.1575,3,basket_tp_pips,7
GBPJPY,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.0,0.0,3,basket_tp_pips,2
GBPUSD,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.14625,0.14625,3,basket_tp_pips,6
NZDUSD,new_york,2025-01-02T13:00:00.000000+0000,2025-01-02T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.08125,0.0325,3,basket_tp_pips,90
EURJPY,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.85,0.19125,0.1125,3,basket_tp_pips,47
GBPJPY,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,1.83873,1.611443,1.543943,4,basket_tp_pips,50
GBPUSD,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.227778,0.325,0.24375,3,basket_tp_pips,159
NZDUSD,asia,2025-01-02T23:00:00.000000+0000,2025-01-03T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.227778,0.6175,0.0325,3,basket_tp_pips,83
EURJPY,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,5,0.060625,3.180891,1.0125,0.54,5,basket_tp_pips,257
GBPJPY,london,2025-01-03T03:00:00.000000+0000,2025-01-03T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,1.585605,2.860312,2.7225,4,basket_tp_pips,59
