policy_id,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
session_optimizer_asia_eurjpy_medium,31,22,90.485845,2.9188982258064518,2.21384,45.331484,2.774193548387097,1,0,0,0.7096774193548387
session_optimizer_asia_gbpjpy_medium,31,21,65.511065,2.113260161290323,2.21384,40.17591,2.903225806451613,1,0,0,0.6774193548387096
session_optimizer_asia_gbpusd_medium,31,17,-60.45487800000001,-1.9501573548387099,3.249366,83.671705,4.064516129032258,3,0,0,0.5483870967741935
session_optimizer_asia_nzdusd_medium,31,20,-43.287329,-1.3963654516129032,2.08,96.965033,1.2903225806451613,1,0,0,0.6451612903225806
