pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,20,70.00233200000001,2.258139741935484,4.841351,46.162384,4.580645161290323,1,0,0,0.6451612903225806
GBPJPY,31,22,142.825208,4.607264774193548,3.010732,36.027029,4.645161290322581,0,0,0,0.7096774193548387
GBPUSD,31,16,-178.01288100000002,-5.742351000000001,4.47654,68.706521,5.129032258064516,1,0,0,0.5161290322580645
NZDUSD,31,21,85.969331,2.7732042258064515,1.82,42.762047,1.8387096774193548,1,0,0,0.6774193548387096
