pair,abs_ret_5m_q50,abs_ret_5m_q90,abs_ret_60m_q50,abs_ret_60m_q90,abs_ret_180m_q50,abs_ret_180m_q90,trend_persistence_q50,trend_persistence_q90,max_abs_ret_60m_q90
EURJPY,0.00018264840182649094,0.0006390617070466193,0.0006450298750678902,0.0019515216107615614,0.0012115187474761367,0.0033731984053971867,5.857109407819882,42.427519571536536,0.002132938391625321
GBPJPY,0.00021126523870562935,0.0007532574377495208,0.0007002440556487848,0.00232470739826061,0.0012584744877065087,0.003636028154797047,5.666654628173407,44.49785678276383,0.0023352022208916337
GBPUSD,0.00027753548489419747,0.0008817888556585786,0.000710340644255066,0.0022164880243482994,0.0011754334410813724,0.003678210546417818,4.099973185351487,26.42833157824298,0.0023501006036217575
NZDUSD,0.0003482197266474762,0.00117216117216126,0.0008590369061705276,0.002812148481439689,0.0014231077114647546,0.004524663529566669,3.959178833009625,25.799690135402482,0.0030626134301269562
