policy_id,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
both_sides_normal,31,14,-2.1314139999999995,-0.06875529032258063,0.0,32.310432,4.225806451612903,0,2,0,0.45161290322580644
session_optimizer_new_york_gbpjpy_medium,31,18,49.332336,1.5913656774193548,2.349809,23.771135,3.7419354838709675,0,4,0,0.5806451612903226
session_optimizer_new_york_gbpusd_medium,31,13,17.532610000000005,0.5655680645161292,0.0,37.938624,4.419354838709677,0,2,0,0.41935483870967744
session_optimizer_new_york_nzdusd_medium,31,19,45.522315,1.4684617741935484,1.3,12.723872,2.0,0,0,0,0.6129032258064516
