pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,win_rate
EURJPY,1095,720,495.04989,0.45210035616438354,0.913091,26.63496,2.5452054794520547,0.6575342465753424
GBPJPY,1095,701,2220.043768,2.027437231050228,5.500352,107.487787,2.48675799086758,0.6401826484018265
GBPUSD,1095,620,2197.5192819999997,2.006866924200913,6.042622,150.75177,2.5324200913242008,0.5662100456621004
NZDUSD,1095,749,1023.675202,0.934863198173516,1.95,73.033386,0.8164383561643835,0.6840182648401827
