pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,20,90.416744,2.9166691612903226,7.817852,32.445,2.129032258064516,0,0,0,0.6451612903225806
GBPJPY,31,22,171.99274400000002,5.548153032258065,7.817852,30.1275,2.129032258064516,0,0,0,0.7096774193548387
GBPUSD,31,16,-108.400974,-3.496805612903226,11.452683,51.051,2.129032258064516,0,0,0,0.5161290322580645
NZDUSD,31,22,136.513,4.4036451612903225,5.2,35.152,0.8387096774193549,0,0,0,0.7096774193548387
