policy_id,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
session_optimizer_asia_eurjpy_medium,31,22,23.61348,0.7617251612903225,0.780415,15.095131,2.3870967741935485,0,0,0,0.7096774193548387
session_optimizer_asia_gbpjpy_medium,31,22,21.97157,0.7087603225806451,0.780415,10.507464,2.3225806451612905,0,0,0,0.7096774193548387
session_optimizer_asia_gbpusd_medium,31,21,43.048456,1.388659870967742,1.141939,20.310108,2.870967741935484,1,0,0,0.6774193548387096
session_optimizer_asia_nzdusd_medium,31,22,9.399000000000001,0.3031935483870968,0.39,1.287,0.7741935483870968,0,0,0,0.7096774193548387
