field,null_rows,null_ratio
actual_num,1871,0.06114379084967321
forecast_num,21512,0.7030065359477125
previous_num,465,0.01519607843137255
source,8533,0.27885620915032683
comment,18735,0.6122549019607844
unit,0,0.0
