pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,20,90.28526399999998,2.9124278709677416,5.064251,67.690222,3.096774193548387,0,0,0,0.6451612903225806
GBPJPY,31,17,-58.60719700000003,-1.8905547419354847,5.064251,70.628811,3.032258064516129,0,1,0,0.5483870967741935
GBPUSD,31,20,178.288256,5.751234064516129,7.424268,101.635937,2.6774193548387095,0,1,0,0.6451612903225806
NZDUSD,31,21,-23.641039,-0.7626141612903226,3.9,137.201145,0.8709677419354839,0,0,0,0.6774193548387096
