split,band,rows,positive_rate
valid,safe,5988,0.05661322645290581
valid,reduce_risk,2436,0.04146141215106732
valid,halt,440,0.09090909090909091
valid,avoid_session,302,0.8774834437086093
test,safe,2886,0.08523908523908524
test,reduce_risk,1345,0.09888475836431226
test,halt,325,0.2276923076923077
test,avoid_session,156,0.8012820512820513
