pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,20,-0.6423199999999909,-0.020719999999999707,3.122182,82.437523,3.0,0,0,0,0.6451612903225806
GBPJPY,31,20,80.577482,2.599273612903226,2.764561,57.386767,2.7419354838709675,0,1,0,0.6451612903225806
GBPUSD,31,19,-4.472181999999991,-0.14426393548387068,4.055049,81.204815,2.838709677419355,0,1,0,0.6129032258064516
NZDUSD,31,21,-20.767857,-0.669930870967742,2.34,89.906836,0.9032258064516129,0,0,0,0.6774193548387096
