pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,22,13.256635,0.4276333870967742,0.413725,3.496317,2.4193548387096775,0,0,0,0.7096774193548387
GBPJPY,31,22,15.067215,0.4860391935483871,0.413725,4.825336,2.5806451612903225,0,0,0,0.7096774193548387
GBPUSD,31,20,-49.658995000000004,-1.6019030645161292,0.605927,33.879027,2.870967741935484,0,0,0,0.6451612903225806
NZDUSD,31,22,5.993,0.1933225806451613,0.26,0.637,0.7419354838709677,0,0,0,0.7096774193548387
