feature,importance
risk_prior_halt,0.25087401270866394
avoid_asia,0.07043731212615967
event_hour,0.07034239172935486
risk_prior_reduce,0.06255634874105453
avoid_london,0.051411837339401245
rolling_std_5m_30,0.029763558879494667
event_year,0.02710796520113945
range_width_60,0.02459913119673729
event_weekday,0.02390829101204872
is_usd_event,0.021619068458676338
ret_prev_15m,0.021388128399848938
ret_prev_5m,0.021287282928824425
avg_range_frac_60,0.019520264118909836
event_month,0.019518041983246803
ret_prev_60m,0.019469277933239937
ret_prev_240m,0.019442398101091385
is_gbp_event,0.018973875790834427
pair,0.01883913390338421
rolling_std_15m_30,0.018485506996512413
dist_from_mean_60,0.01723732426762581
cat_agriculture,0.016531318426132202
importance_score_filled,0.016488870605826378
is_nzd_event,0.015325043350458145
is_jpy_event,0.014875663444399834
is_eur_event,0.014198137447237968
pair_eurjpy,0.013311097398400307
pair_nzdusd,0.01320808194577694
pair_gbpjpy,0.010289057157933712
cat_pmi,0.009358913637697697
pair_gbpusd,0.009135288186371326
pair_is_jpy_cross,0.009133639745414257
cat_inflation,0.006790786050260067
pair_has_usd_quote,0.006719383876770735
cat_sentiment,0.005668816156685352
cat_other,0.0048306649550795555
pair_has_gbp_base,0.004279287997633219
cat_auction,0.003074867185205221
avoid_both,0.0
cat_central_bank,0.0
cat_employment,0.0
cat_gdp,0.0
cat_retail_sales,0.0
cat_trade,0.0
cat_housing,0.0
cat_speech,0.0
