pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,15,57.204564,1.8453085161290321,0.0,50.288256,2.5806451612903225,0,2,0,0.4838709677419355
GBPJPY,31,16,-20.653341999999995,-0.6662368387096772,5.529121,86.801461,2.4193548387096775,0,4,0,0.5161290322580645
GBPUSD,31,13,95.72058800000002,3.0877609032258073,0.0,80.799664,2.6129032258064515,0,2,0,0.41935483870967744
NZDUSD,31,19,88.8329,2.8655774193548385,4.68,24.93348,1.096774193548387,0,0,0,0.6129032258064516
