rebalance_date,training_start,training_end,pair,session,enabled,initial_lot,grid_level,multiplier,step_pips,basket_tp_pips,profit_target_currency,max_dd_currency,training_sessions_used,training_total_pnl,training_max_dd,training_score
2025-01-01,2024-12-04,2024-12-31,GBPJPY,asia,True,0.01,4,1.2,8.0,6.0,,200.0,23,211.751626,22.8,211.751626
2025-01-08,2024-12-11,2025-01-07,GBPJPY,asia,True,0.01,3,1.2,8.0,6.0,,200.0,24,118.630004,61.032,118.630004
