feature,importance
pair_nzdusd,0.44464170932769775
rvol_5m_60,0.09774278104305267
avg_range_20,0.06295588612556458
pair_gbpusd,0.04889516532421112
rvol_5m_20,0.03309395909309387
avg_range_60,0.030559014528989792
bar_range_frac,0.030135152861475945
channel_width_60,0.027396580204367638
channel_width_240,0.02550211176276207
dist_from_ma60,0.024992354214191437
ret_5m,0.023791270330548286
pair_gbpjpy,0.021031156182289124
dist_from_ma240,0.02046935074031353
pair_eurjpy,0.020318642258644104
ret_30m,0.01973591186106205
ret_60m,0.019559353590011597
ret_240m,0.01854570023715496
ret_15m,0.01685926504433155
trend_consistency_20,0.013774625957012177
