feature,importance
pair_nzdusd,0.5660920143127441
rvol_5m_60,0.07300978899002075
pair_gbpusd,0.044666361063718796
avg_range_20,0.04173784703016281
rvol_5m_20,0.026965167373418808
ret_5m,0.025834975764155388
avg_range_60,0.022895630449056625
channel_width_60,0.02186317928135395
dist_from_ma60,0.02044164575636387
channel_width_240,0.018689503893256187
bar_range_frac,0.01770508848130703
pair_gbpjpy,0.017700541764497757
dist_from_ma240,0.01696237362921238
pair_eurjpy,0.015353377908468246
ret_60m,0.015178980305790901
ret_30m,0.014526459388434887
ret_240m,0.014451310969889164
ret_15m,0.014227497391402721
trend_consistency_20,0.011698219925165176
