pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,17,-148.07820199999998,-4.776716193548387,2.9664,58.23859,2.838709677419355,13,0,0,0.5483870967741935
GBPJPY,31,20,89.466688,2.886022193548387,2.9664,58.712472,2.838709677419355,6,0,0,0.6451612903225806
GBPUSD,31,17,-190.153136,-6.133972129032258,4.368,96.2598,2.838709677419355,6,0,0,0.5483870967741935
NZDUSD,31,21,409.859645,13.221278870967742,8.32,115.622884,1.8387096774193548,1,0,0,0.6774193548387096
