pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,17,46.613496000000005,1.5036611612903228,4.516364,50.288256,2.4516129032258065,0,2,0,0.5483870967741935
GBPJPY,31,16,-30.622368,-0.9878183225806452,4.045921,97.091885,2.4193548387096775,0,4,0,0.5161290322580645
GBPUSD,31,14,61.50177599999999,1.983928258064516,0.0,80.799664,2.5806451612903225,0,2,0,0.45161290322580644
NZDUSD,31,21,60.0223,1.9362032258064517,2.6,24.93348,1.032258064516129,0,0,0,0.6774193548387096
