pair,total_events,true_positives,false_positives,false_negatives,true_negatives,precision,recall,avg_drawdown_avoided,avg_drawdown_missed,opportunity_cost_count
EURJPY,450,7,5,21,417,0.5833333333333334,0.25,0.0011702270302941188,0.0040690774174415205,5
GBPJPY,498,45,5,26,422,0.9,0.6338028169014085,0.001452896344077845,0.0043895026025460035,5
GBPUSD,1955,64,44,145,1702,0.5925925925925926,0.3062200956937799,0.0018389448153894998,0.004405486162689837,44
NZDUSD,1809,20,5,202,1582,0.8,0.09009009009009009,0.00267885561711078,0.005294798671517692,5
