pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,20,16.152686,0.5210543870967742,1.429315,9.899696,2.5161290322580645,2,0,0,0.6451612903225806
GBPJPY,31,20,32.46484400000001,1.0472530322580647,1.429315,10.887912,2.774193548387097,0,0,0,0.6451612903225806
GBPUSD,31,15,-40.225945,-1.297611129032258,0.0,19.708335,2.935483870967742,1,0,0,0.4838709677419355
NZDUSD,31,20,8.714841999999999,0.28112393548387093,1.3,22.508056,1.032258064516129,1,0,0,0.6451612903225806
