feature,importance
risk_prior_halt,0.2564221918582916
event_hour,0.06452161073684692
avoid_asia,0.05104474723339081
risk_prior_reduce,0.047940146178007126
avoid_london,0.041055530309677124
pair_nzdusd,0.036704301834106445
is_gbp_event,0.033161330968141556
is_jpy_event,0.031109677627682686
rolling_std_5m_30,0.030627023428678513
range_width_60,0.028431445360183716
event_year,0.026219788938760757
event_weekday,0.024775752797722816
ret_prev_5m,0.022153105586767197
avg_range_frac_60,0.02213062345981598
pair,0.021969391033053398
ret_prev_15m,0.02193581871688366
is_usd_event,0.020648561418056488
rolling_std_15m_30,0.02025199867784977
ret_prev_60m,0.019404271617531776
ret_prev_240m,0.01919291540980339
event_month,0.0189688578248024
dist_from_mean_60,0.01805475540459156
cat_agriculture,0.017502067610621452
is_nzd_event,0.014142090454697609
is_eur_event,0.011195618659257889
pair_gbpjpy,0.00984509103000164
cat_inflation,0.008560148999094963
pair_eurjpy,0.007767210248857737
cat_pmi,0.0077068922109901905
pair_is_jpy_cross,0.00753902830183506
pair_has_gbp_base,0.007327480707317591
cat_other,0.007076724898070097
importance_score_filled,0.0067788404412567616
cat_sentiment,0.005763820838183165
pair_gbpusd,0.0046295044012367725
cat_gdp,0.004086495377123356
cat_auction,0.0033550444059073925
avoid_both,0.0
pair_has_usd_quote,0.0
cat_central_bank,0.0
cat_employment,0.0
cat_retail_sales,0.0
cat_trade,0.0
cat_housing,0.0
cat_speech,0.0
