pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,17,44.963678000000016,1.450441225806452,0.7884,55.0476,2.4516129032258065,0,2,0,0.5483870967741935
GBPJPY,31,18,122.655742,3.9566368387096778,5.534601,69.195981,2.4193548387096775,0,4,0,0.5806451612903226
GBPUSD,31,15,27.340220000000002,0.8819425806451614,0.0,108.224373,2.806451612903226,0,2,0,0.4838709677419355
NZDUSD,31,20,147.788849,4.767382225806451,5.2,42.338681,1.3870967741935485,0,0,0,0.6451612903225806
