pair,sessions,winning_sessions,total_pnl,avg_pnl,median_pnl,worst_drawdown,avg_trade_count,entered_managed_close_sessions,event_risk_gated_sessions,entry_intent_gated_sessions,win_rate
EURJPY,31,22,105.873385,3.4152704838709678,3.175905,37.739972,3.5483870967741935,0,0,0,0.7096774193548387
GBPJPY,31,22,92.154,2.972709677419355,1.56905,21.464525,3.2580645161290325,0,0,0,0.7096774193548387
GBPUSD,31,19,-16.976208,-0.5476196129032258,4.700168,81.634073,4.387096774193548,1,0,0,0.6129032258064516
NZDUSD,31,22,63.513762,2.0488310322580645,1.56,14.959447,1.2580645161290323,0,0,0,0.7096774193548387
